,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,nikolskoye,75,RU,1571920263,66,59.7,30.79,53.01,13.42
1,kimbe,95,PG,1571920263,89,-5.56,150.15,76.96,2.44
2,airai,61,TL,1571920263,93,-8.93,125.41,64.63,3.13
3,ushuaia,75,AR,1571920263,75,-54.81,-68.31,46.4,19.46
4,loreto,0,PY,1571920263,42,-23.27,-57.32,77.41,4.25
5,kodiak,75,US,1571920266,75,39.95,-94.76,42.8,11.41
6,vostok,0,RU,1571920267,77,46.45,135.83,38.16,4.56
7,yulara,98,AU,1571920267,26,-25.24,130.99,89.6,8.05
8,albany,20,US,1571920180,80,42.65,-73.75,42.01,4.21
9,matara,98,BI,1571920267,77,-3.48,29.48,69.31,5.99
10,saint-philippe,75,CA,1571920267,75,45.36,-73.48,50.0,6.93
11,suriapet,75,IN,1571920248,90,17.15,79.62,76.64,8.55
12,vaini,75,IN,1571920268,88,15.34,74.49,73.4,16.11
13,punta arenas,100,CL,1571920268,62,-53.16,-70.91,51.8,11.41
14,cape town,100,ZA,1571920050,59,-33.93,18.42,70.0,13.87
15,new norfolk,100,AU,1571920268,22,-42.78,147.06,70.0,18.34
16,novo aripuana,79,BR,1571920268,78,-5.12,-60.38,81.37,1.41
17,hermanus,100,ZA,1571920268,53,-34.42,19.24,71.01,1.99
18,busselton,0,AU,1571920269,47,-33.64,115.35,57.0,13.73
19,rikitea,26,PF,1571920269,87,-23.12,-134.97,70.86,17.63
20,valle nacional,1,MX,1571920269,63,25.06,-104.49,58.3,2.91
21,longyearbyen,40,NO,1571920269,62,78.22,15.63,19.4,9.17
22,hervey bay,0,AU,1571920269,72,-25.3,152.85,66.0,3.36
23,severo-kurilsk,92,RU,1571920269,93,50.68,156.12,33.55,10.56
24,lata,22,IN,1571920270,88,30.78,78.62,26.89,2.46
25,los llanos de aridane,40,ES,1571920270,53,28.66,-17.92,75.2,4.7
26,bethel,90,US,1571920270,89,60.79,-161.76,32.0,11.41
27,vila velha,75,BR,1571920165,66,-3.71,-38.6,84.2,19.46
28,narsaq,75,GL,1571920271,79,60.91,-46.05,28.4,1.12
29,yellowknife,90,CA,1571920271,77,62.45,-114.38,35.6,19.46
30,faanui,29,PF,1571920271,65,-16.48,-151.75,78.75,8.57
31,tuktoyaktuk,86,CA,1571920271,89,69.44,-133.03,16.12,12.06
32,tiksi,0,RU,1571920271,86,71.64,128.87,1.98,10.42
33,port hardy,90,CA,1571920271,93,50.7,-127.42,48.2,16.11
34,yar-sale,100,RU,1571920272,92,66.83,70.83,23.25,14.97
35,atuona,3,PF,1571920272,74,-9.8,-139.03,79.02,11.12
36,bredasdorp,100,ZA,1571920272,23,-34.53,20.04,75.2,8.05
37,sao filipe,0,CV,1571920272,81,14.9,-24.5,73.38,16.28
38,jumla,0,NP,1571920272,62,29.28,82.18,44.94,4.79
39,lompoc,1,US,1571920273,76,34.64,-120.46,66.0,4.7
40,hilo,1,US,1571920273,64,19.71,-155.08,73.4,8.05
41,port elizabeth,1,US,1571920273,86,39.31,-74.98,48.99,1.54
42,souillac,90,FR,1571920273,87,45.6,-0.6,60.8,17.22
43,mataura,98,NZ,1571920273,83,-46.19,168.86,45.0,15.99
44,srednekolymsk,9,RU,1571920274,97,67.46,153.71,-6.02,5.53
45,bluff,32,AU,1571920274,73,-23.58,149.07,66.87,9.46
46,sao joao da barra,40,BR,1571920274,69,-21.64,-41.05,77.0,4.85
47,sambava,37,MG,1571920274,55,-14.27,50.17,83.16,7.14
48,senno,90,RU,1571920274,62,57.76,27.95,51.8,6.71
49,butaritari,80,KI,1571920274,69,3.07,172.79,84.0,5.95
50,kamojima,90,JP,1571920275,93,34.07,134.35,66.2,18.34
51,thompson,20,CA,1571920275,92,55.74,-97.86,15.8,2.24
52,vardo,1,US,1571920275,80,39.62,-77.74,43.0,1.12
53,tasiilaq,20,GL,1571920275,57,65.61,-37.64,23.0,3.36
54,podporozhye,99,RU,1571920275,94,60.91,34.16,46.92,8.41
55,atar,86,MR,1571920276,30,20.52,-13.05,90.3,16.42
56,lasa,40,CY,1571920276,64,34.92,32.53,75.2,12.75
57,pacific grove,1,US,1571920276,51,36.62,-121.92,64.0,7.25
58,jamestown,43,AU,1571920082,49,-33.21,138.6,65.17,28.36
59,kavieng,41,PG,1571920276,78,-2.57,150.8,84.74,20.13
60,ostrovnoy,27,RU,1571920277,95,68.05,39.51,21.34,5.95
61,monterey,1,US,1571920277,51,36.6,-121.89,63.0,7.25
62,wahiawa,1,US,1571920277,69,21.5,-158.02,78.8,6.93
63,cayenne,20,GF,1571920203,70,4.94,-52.33,86.0,3.36
64,hobart,100,AU,1571920102,22,-42.88,147.33,70.0,18.34
65,hauterive,75,CA,1571920277,93,49.18,-68.27,46.4,13.87
66,uchkeken,87,RU,1571920277,32,43.95,42.51,68.0,13.42
67,high prairie,100,CA,1571920278,82,55.43,-116.48,36.86,13.58
68,honningsvag,40,NO,1571920278,59,70.98,25.97,32.0,9.17
69,kaitangata,99,NZ,1571920278,77,-46.28,169.85,45.68,37.96
70,shangrao,3,CN,1571920278,63,28.45,117.97,65.28,3.6
71,parola,77,IN,1571920278,69,20.88,75.11,80.8,8.84
72,qaanaaq,100,GL,1571920279,75,77.48,-69.36,25.48,12.19
73,upernavik,100,GL,1571920279,59,72.79,-56.15,30.06,12.57
74,kansanshi,51,ZM,1571920039,31,-12.1,26.43,86.88,4.76
75,cabedelo,75,BR,1571920279,69,-6.97,-34.84,82.4,12.75
76,caravelas,79,BR,1571920279,82,-17.73,-39.27,78.22,9.55
77,grindavik,75,IS,1571920280,63,63.84,-22.43,32.0,27.51
78,saint-francois,13,FR,1571920280,49,46.42,3.91,68.0,11.41
